Time_Index,EIC_utilitypv_class1_moderate_0,EIC_utilitypv_class1_moderate_1,EIC_utilitypv_class1_moderate_2,EIC_utilitypv_class1_moderate_3,EIC_utilitypv_class1_moderate_4,EIC_utilitypv_class1_moderate_5,EIC_utilitypv_class1_moderate_6,EIC_utilitypv_class1_moderate_7,EIC_utilitypv_class1_moderate_8,EIC_utilitypv_class1_moderate_9,TRE_utilitypv_class1_moderate_0,TRE_utilitypv_class1_moderate_1,TRE_utilitypv_class1_moderate_2,TRE_utilitypv_class1_moderate_3,TRE_utilitypv_class1_moderate_4,TRE_utilitypv_class1_moderate_5,TRE_utilitypv_class1_moderate_6,TRE_utilitypv_class1_moderate_7,TRE_utilitypv_class1_moderate_8,TRE_utilitypv_class1_moderate_9,WECC_utilitypv_class1_moderate_0,WECC_utilitypv_class1_moderate_1,WECC_utilitypv_class1_moderate_2,WECC_utilitypv_class1_moderate_3,WECC_utilitypv_class1_moderate_4,WECC_utilitypv_class1_moderate_5,WECC_utilitypv_class1_moderate_6,WECC_utilitypv_class1_moderate_7,WECC_utilitypv_class1_moderate_8,WECC_utilitypv_class1_moderate_9
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.005,0.0,0.003,0.002,0.0,0.0,0.009,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.017,0.085,0.023,0.096,0.061,0.0,0.009,0.119,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.217,0.318,0.247,0.322,0.316,0.18,0.226,0.358,0.345,0.185,0.055,0.081,0.071,0.058,0.07,0.019,0.017,0.07,0.0,0.067,0.003,0.009,0.008,0.016,0.012,0.0,0.004,0.0,0.009,0.0
9,0.463,0.498,0.488,0.493,0.498,0.456,0.427,0.521,0.507,0.446,0.349,0.391,0.348,0.371,0.345,0.346,0.286,0.348,0.299,0.306,0.161,0.276,0.188,0.302,0.183,0.225,0.139,0.199,0.16,0.213
10,0.617,0.598,0.627,0.585,0.602,0.624,0.55,0.604,0.597,0.624,0.541,0.589,0.552,0.577,0.541,0.559,0.508,0.542,0.489,0.516,0.445,0.489,0.44,0.539,0.414,0.497,0.356,0.488,0.369,0.497
11,0.675,0.64,0.679,0.631,0.639,0.685,0.606,0.641,0.641,0.684,0.654,0.687,0.649,0.678,0.631,0.662,0.615,0.644,0.576,0.648,0.617,0.579,0.598,0.649,0.562,0.67,0.497,0.666,0.495,0.671
12,0.711,0.667,0.71,0.654,0.664,0.721,0.655,0.674,0.677,0.717,0.707,0.73,0.699,0.717,0.694,0.706,0.679,0.696,0.647,0.71,0.701,0.652,0.686,0.7,0.655,0.738,0.593,0.74,0.602,0.737
13,0.725,0.679,0.723,0.669,0.679,0.734,0.68,0.687,0.691,0.733,0.73,0.752,0.727,0.743,0.725,0.731,0.711,0.719,0.711,0.738,0.727,0.69,0.714,0.725,0.697,0.766,0.644,0.766,0.671,0.765
14,0.72,0.674,0.719,0.664,0.673,0.739,0.688,0.682,0.683,0.745,0.741,0.758,0.732,0.756,0.731,0.75,0.735,0.718,0.741,0.742,0.749,0.72,0.737,0.738,0.718,0.782,0.675,0.781,0.707,0.78
15,0.712,0.645,0.709,0.637,0.656,0.738,0.676,0.661,0.657,0.73,0.735,0.747,0.727,0.752,0.725,0.752,0.749,0.724,0.756,0.747,0.758,0.726,0.75,0.738,0.734,0.791,0.676,0.788,0.707,0.785
16,0.694,0.599,0.692,0.59,0.628,0.726,0.661,0.629,0.631,0.711,0.716,0.734,0.705,0.738,0.713,0.736,0.734,0.708,0.745,0.73,0.758,0.716,0.749,0.749,0.718,0.786,0.664,0.782,0.694,0.78
17,0.67,0.546,0.666,0.537,0.582,0.707,0.631,0.578,0.592,0.69,0.667,0.714,0.672,0.714,0.685,0.717,0.714,0.679,0.722,0.703,0.755,0.71,0.744,0.764,0.704,0.789,0.649,0.786,0.673,0.785
18,0.634,0.452,0.618,0.457,0.512,0.67,0.58,0.478,0.526,0.662,0.597,0.684,0.631,0.686,0.648,0.69,0.688,0.655,0.69,0.654,0.74,0.68,0.73,0.759,0.664,0.784,0.625,0.781,0.618,0.781
19,0.553,0.288,0.531,0.305,0.383,0.604,0.496,0.311,0.388,0.6,0.488,0.6,0.551,0.603,0.565,0.606,0.603,0.554,0.62,0.542,0.708,0.642,0.69,0.741,0.621,0.772,0.619,0.769,0.553,0.77
20,0.378,0.086,0.357,0.114,0.196,0.444,0.338,0.105,0.191,0.461,0.347,0.42,0.37,0.418,0.389,0.43,0.429,0.369,0.45,0.347,0.631,0.557,0.597,0.714,0.547,0.757,0.59,0.754,0.459,0.752
21,0.141,0.01,0.123,0.031,0.043,0.194,0.108,0.03,0.046,0.235,0.096,0.146,0.095,0.144,0.103,0.153,0.16,0.081,0.204,0.076,0.457,0.405,0.437,0.662,0.391,0.709,0.5,0.71,0.343,0.704
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.205,0.17,0.182,0.519,0.158,0.592,0.309,0.586,0.174,0.595
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.046,0.019,0.286,0.019,0.374,0.077,0.366,0.062,0.388
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.002,0.0,0.002,0.001,0.0,0.0,0.004,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.017,0.094,0.023,0.115,0.069,0.0,0.01,0.114,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.179,0.312,0.212,0.34,0.307,0.119,0.224,0.339,0.299,0.187,0.005,0.028,0.009,0.02,0.013,0.018,0.016,0.021,0.019,0.024,0.0,0.004,0.003,0.002,0.003,0.0,0.0,0.0,0.002,0.0
33,0.393,0.489,0.442,0.502,0.496,0.38,0.45,0.509,0.482,0.448,0.301,0.288,0.302,0.327,0.312,0.352,0.337,0.322,0.375,0.298,0.156,0.242,0.213,0.266,0.22,0.208,0.238,0.187,0.17,0.176
34,0.527,0.584,0.582,0.582,0.597,0.552,0.585,0.593,0.577,0.614,0.514,0.484,0.503,0.534,0.521,0.557,0.548,0.504,0.583,0.483,0.41,0.458,0.452,0.531,0.449,0.476,0.474,0.469,0.377,0.485
35,0.592,0.633,0.645,0.629,0.634,0.625,0.643,0.626,0.611,0.678,0.628,0.573,0.621,0.632,0.633,0.668,0.667,0.597,0.705,0.6,0.581,0.579,0.585,0.657,0.577,0.654,0.614,0.652,0.485,0.645
36,0.628,0.66,0.673,0.662,0.662,0.659,0.675,0.64,0.624,0.707,0.665,0.633,0.664,0.663,0.659,0.695,0.696,0.615,0.734,0.636,0.679,0.655,0.665,0.732,0.654,0.728,0.691,0.727,0.568,0.731
37,0.646,0.67,0.678,0.675,0.678,0.67,0.695,0.653,0.641,0.72,0.673,0.664,0.677,0.666,0.66,0.694,0.69,0.618,0.706,0.646,0.715,0.689,0.699,0.761,0.686,0.756,0.734,0.754,0.615,0.759
38,0.647,0.663,0.677,0.671,0.677,0.694,0.701,0.651,0.644,0.717,0.674,0.675,0.675,0.669,0.662,0.698,0.7,0.623,0.712,0.649,0.746,0.7,0.718,0.771,0.716,0.767,0.754,0.766,0.649,0.77
39,0.643,0.64,0.667,0.651,0.663,0.696,0.69,0.633,0.632,0.706,0.653,0.672,0.647,0.664,0.637,0.701,0.698,0.611,0.708,0.625,0.759,0.706,0.731,0.775,0.717,0.778,0.745,0.776,0.655,0.781
40,0.634,0.601,0.65,0.619,0.635,0.68,0.667,0.598,0.592,0.686,0.589,0.619,0.595,0.642,0.582,0.682,0.672,0.564,0.689,0.588,0.756,0.717,0.735,0.759,0.707,0.771,0.72,0.77,0.67,0.776
41,0.617,0.554,0.596,0.562,0.575,0.633,0.621,0.541,0.534,0.631,0.528,0.517,0.516,0.582,0.525,0.651,0.631,0.518,0.669,0.505,0.727,0.698,0.705,0.738,0.667,0.758,0.683,0.76,0.646,0.766
42,0.56,0.47,0.524,0.481,0.498,0.57,0.562,0.452,0.468,0.562,0.461,0.419,0.441,0.51,0.467,0.585,0.587,0.429,0.636,0.444,0.711,0.659,0.684,0.742,0.637,0.762,0.663,0.766,0.629,0.77
43,0.456,0.315,0.412,0.338,0.375,0.472,0.456,0.311,0.344,0.467,0.336,0.214,0.335,0.385,0.334,0.47,0.482,0.335,0.578,0.372,0.676,0.551,0.62,0.705,0.576,0.754,0.636,0.757,0.587,0.758
44,0.289,0.106,0.255,0.143,0.185,0.314,0.293,0.126,0.164,0.299,0.18,0.077,0.183,0.17,0.195,0.278,0.302,0.232,0.417,0.236,0.597,0.38,0.513,0.627,0.482,0.733,0.576,0.737,0.531,0.736
45,0.08,0.011,0.054,0.026,0.029,0.099,0.085,0.025,0.032,0.12,0.014,0.002,0.025,0.029,0.036,0.057,0.079,0.035,0.161,0.034,0.428,0.221,0.342,0.539,0.333,0.689,0.457,0.696,0.391,0.696
46,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.216,0.13,0.163,0.423,0.153,0.573,0.266,0.577,0.184,0.589
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.038,0.02,0.208,0.02,0.354,0.076,0.354,0.062,0.382
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.006,0.0,0.004,0.002,0.0,0.0,0.007,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.012,0.108,0.012,0.129,0.078,0.0,0.006,0.152,0.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
